2,status_code,pred_list,wbs_id,task_name,start_date,end_date,UNIFORMAT,,,,,,,,,,,MASTERFORMAT,,,
Activity ID,Activity Status,(*)Predecessors,WBS Code,Activity Name,(*)Start,(*)Finish,,,,,,,,,,,,,,,
LE10000,In Progress,A1000,15059 LMES-5.9.6.6.4,PROJECT DURATION (NTP TO SC) - LOE,42689,43199.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE1000,In Progress,L11000,15059 LMES-5,LEVEL 1 - OVERALL,42696,43245.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE2000,Not Started,L2000,15059 LMES-5,LEVEL 2 - OVERALL,42851.33333,43210.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE3000,Not Started,L3000,15059 LMES-5,LEVEL 3 - OVERALL,42872.33333,43210.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE4000,Not Started,L4000,15059 LMES-5,LEVEL 4 - OVERALL,42888.33333,43210.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE5000,Not Started,L5000,15059 LMES-5,LEVEL 5 - OVERALL,42906.33333,43210.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE6000,Not Started,L6000,15059 LMES-5,LEVEL 6 - OVERALL,42922.33333,43210.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE7000,Not Started,L7000,15059 LMES-5,LEVEL 7 - OVERALL,42937.33333,43213.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE8000,Not Started,L8000,15059 LMES-5,LEVEL 8 - OVERALL,42954.33333,43227.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
LE0000,In Progress,S1000,15059 LMES-5,SITE - OVERALL,42692,43244.66667,,,,,,,,,,,,01 00 00,General Requirements,01 31 00,Project Management and Coordination
